State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,17304,2854,559,13891,25/04/2020 06:27:25,TT,0,0,0,
Maharashtra,4200,507,223,3470,25/04/2020 06:27:25,MH,0,0,0,
Delhi,2003,290,45,1668,25/04/2020 06:27:26,DL,0,0,0,
Gujarat,1743,105,63,1575,25/04/2020 06:27:27,GJ,0,0,0,
Rajasthan,1478,205,23,1250,25/04/2020 06:27:28,RJ,0,0,0,
Tamil Nadu,1477,411,15,1051,25/04/2020 06:27:29,TN,0,0,0,
Madhya Pradesh,1407,131,72,1204,25/04/2020 06:27:30,MP,0,0,0,
Uttar Pradesh,1100,127,17,956,25/04/2020 06:27:30,UP,0,0,0,
Telangana,858,186,21,651,25/04/2020 06:27:31,TG,0,0,0,
Andhra Pradesh,647,65,17,565,25/04/2020 06:27:32,AP,0,0,0,
Karnataka,390,111,16,263,25/04/2020 06:27:36,KA,0,0,0,
Kerala,401,270,2,129,25/04/2020 06:27:37,KL,0,0,0,
Jammu and Kashmir,354,56,5,293,25/04/2020 06:27:38,JK,0,0,0,
West Bengal,310,62,12,236,25/04/2020 06:27:38,WB,0,0,0,"As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
Haryana,250,104,3,143,25/04/2020 06:27:39,HR,0,0,0,1 death in Ambala unaccounted.
Punjab,244,37,16,191,25/04/2020 06:27:40,PB,0,0,0,
Bihar,96,42,2,52,25/04/2020 06:27:41,BR,0,0,0,
Odisha,61,24,1,36,25/04/2020 06:27:42,OR,0,0,0,
Uttarakhand,44,11,0,33,25/04/2020 06:27:43,UT,0,0,0,
Jharkhand,41,0,2,39,25/04/2020 06:27:43,JH,0,0,0,
Himachal Pradesh,39,16,2,21,25/04/2020 06:27:44,HP,0,0,0,Death of Tibetan refugee included
Chhattisgarh,36,25,0,11,25/04/2020 06:27:45,CT,0,0,0,
Assam,35,17,1,17,25/04/2020 06:27:45,AS,0,0,0,Includes one case from Nagaland
Chandigarh,26,13,0,13,25/04/2020 06:27:46,CH,0,0,0,
Ladakh,18,14,0,4,25/04/2020 06:27:47,LA,0,0,0,
Andaman and Nicobar Islands,15,11,0,4,25/04/2020 06:27:47,AN,0,0,0,
Meghalaya,11,0,1,10,25/04/2020 06:27:48,ML,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Puducherry,7,4,0,3,19/04/2020 08:25:07,PY,0,0,0,
Manipur,2,1,0,1,25/04/2020 06:27:49,MN,0,0,0,
Tripura,2,1,0,1,25/04/2020 06:27:50,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
